,Name,Rating,Current Price,Original Price,Discount,Features
558,CHUWI Intel Celeron Dual Core 11th Gen N4020,3.7,"₹16,490","₹34,990",52%,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD StorageHard-Decoding 4k@60Hz
Graphics/GPU: UHD Graphics 600
Display: 14.1 inch, 16:9 IPS Display
Touchpad: Larger Touchpad with easy control
Keyboard: Chiclet keyboard keysIntel Celeron Dual Core Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.81 cm (14.1 inch) DisplayWPS Office, Operating System Software1 Year Onsite Warranty"
559,HP 14a Intel Celeron Dual Core N4500,3.7,"₹16,990","₹30,001",43%,Intel Celeron Dual Core Processor4 GB LPDDR4 RAMChrome Operating System35.56 cm (14 Inch) Touchscreen Display1 Year Onsite Warranty
560,DELL Intel Core i3 12th Gen 1215U,4.1,"₹37,890","₹62,841",39%,"Processor: Intel i3-1215U (Base- 0.9 GHz & Turbo up to 4.40 GHz) 6 CoresRAM & Storage: 8GB DDR4 & 512GB SSDGraphics & Keyboard: Integrated & Standard KeyboardDisplay: 15.6"" FHD WVA AG 120Hz 250 nits Narrow BorderIntel Core i3 Processor (12th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD96.52 cm (38 cm) Display1 Year Onsite Hardware Service"
561,DELL Inspiron 15 3520 Intel Core i5 12th Gen Core i5,4.1,"₹52,800","₹78,900",33%,"Intel Core i5 Processor (12th Gen)16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayOffice Home & Student 2021, Microsoft Windows, 15 Months Macafee Antivirus1 Year Onsite Warranty"
562,Acer Intel Celeron Dual Core N4500,3.6,"₹17,990","₹40,000",55%,Intel Celeron Dual Core Processor8 GB LPDDR4X RAMChrome Operating System35.56 cm (14 inch) Display1 Year Onsite Warranty
563,ASUS Chromebook Intel Celeron Dual Core N4500,3.8,"₹19,990","₹32,990",39%,Intel Celeron Dual Core Processor8 GB LPDDR4X RAMChrome Operating System39.62 cm (15.6 Inch) Display1 Year Onsite Warranty
564,ZEBRONICS Pro Series Z Intel Core i5 12th Gen 1235U,3.9,"₹31,990","₹60,999",47%,Intel Core i5 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Carry-in Warranty
565,HP Intel Core i3 12th Gen 1215U,4.2,"₹41,490","₹51,134",18%,Intel Core i3 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 inch) Display1 Year Onsite warranty
566,Lenovo V15 Intel Celeron Dual Core 4th Gen,4,"₹21,990","₹42,032",47%,Intel Celeron Dual Core Processor (4th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD39.62 cm (15.6 inch) Display1 Years
567,ASUS Vivobook 15 Intel Core i3 12th Gen i3,4.2,"₹39,990","₹60,990",34%,"Intel Core i3 Processor (12th Gen)8 GB DDR4 RAM64 bit Windows 11 Home Operating System512 GB SSD39.62 cm (15.6 inch) DisplayWindows 11, MS Office H&S 20211 Year Onsite Warranty"
